username,title,subscribers,avg_views,avg_reactions,avg_comments,avg_forwards,posts_per_day,has_linked_chat,err,reach,bot_ratio,detected_category,preliminary_score,health_score
@entertainment_nova_0000,Peak Vibes,21073,6033,115,0,16,2.38,False,2.7,28.63,0.054,entertainment,60,58.0
@sports_neon_0001,Insider Match,3668,717,17,0,3,0.04,False,3.19,19.57,0.115,sports,35,32.6
@business_insider_0002,Daily Market,666,251,6,0,2,3.65,False,4.62,37.78,0.081,business,52,49.5
@news_daily_0003,Peak Report,6798,2657,24,0,8,2.72,False,1.61,39.1,0.0,news,57,57.0
@business_insider_0004,Quiet Capital,5935,2118,71,15,26,1.37,True,5.54,35.7,0.036,business,87,85.1
@movies_neon_0005,Daily Cinema,2996,870,40,0,13,1.16,False,7.49,29.07,0.0,movies,60,60.0
@tech_global_0006,Global AI,41229,6892,88,0,32,39.6,False,2.3,16.72,0.086,tech,40,37.9
@crypto_quiet_0007,Vivid DeFi,4782,1505,38,0,12,1.31,False,3.5,31.48,0.004,crypto,60,59.9
@business_bright_0008,Quiet Capital,294,87,1,0,0,2.6,True,3.4,29.74,0.079,business,52,49.5
@health_alpha_0009,Alpha Health,2097,204,0,0,0,0.2,True,0.28,9.75,0.064,health,20.48,19.7
@entertainment_bright_0010,Nova Laughs,274,71,2,0,0,15.1,False,4.94,26.19,0.037,entertainment,37,36.2
@crypto_vivid_0011,Nova Chain,4048,1066,22,0,7,0.07,False,3.52,26.35,0.016,crypto,40,39.6
@business_smart_0012,Urban Money,2793,823,22,0,7,1.44,False,4.1,29.47,0.054,business,55,53.2
@news_global_0013,Neon Wire,5189,774,14,4,4,1.48,True,2.87,14.92,0.03,news,62,60.9
@education_neon_0014,Open Course,16669,2515,58,24,16,3.06,True,4.05,15.09,0.045,education,70,68.1
@politics_insider_0015,Insider Debate,52890,15264,83,0,31,0.13,False,0.88,28.86,0.015,politics,37,36.7
@sports_urban_0016,Neon Match,202,93,1,0,0,1.59,True,2.92,46.43,0.062,sports,57,54.9
@tech_prime_0017,Insider Code,1729,346,3,1,1,0.97,True,1.78,20.02,0.137,tech,55,50.5
@education_bright_0018,Bright Course,2638,875,6,1,1,2.17,True,1.23,33.21,0.064,education,65,62.5
@health_peak_0019,Neon Health,2972,599,6,0,1,18.0,False,1.59,20.16,0.032,health,35,34.3
@politics_global_0020,Daily Forum,13695,3238,35,9,7,0.02,True,1.55,23.65,0.037,politics,55,53.8
@crypto_alpha_0021,Bright Coins,20812,5415,58,13,13,3.43,True,1.6,26.02,0.106,crypto,70,65.5
@news_smart_0022,Core News,4894,321,2,0,0,1.34,True,1.25,6.58,0.576,news,38.29,25.1
@movies_core_0023,Quiet Reel,8206,2036,45,10,9,0.2,True,3.49,24.82,0.111,movies,62,57.9
@politics_nova_0024,Daily Policy,1569,375,12,0,2,0.03,False,4.86,23.91,0.011,politics,40,39.7
@news_bright_0025,Global News,1580,354,7,0,1,2.5,False,3.43,22.41,0.133,news,55,50.6
@gaming_global_0026,Core Games,499,216,10,0,2,0.07,False,6.42,43.32,0.024,gaming,47,46.3
@lifestyle_neon_0027,Daily Home,4955,1555,13,3,3,0.2,True,1.47,31.39,0.058,lifestyle,55,53.1
@gaming_neon_0028,Quiet Quest,49736,1170,9,1,1,1.48,True,1.34,2.35,0.047,gaming,51.18,49.7
@lifestyle_smart_0029,Urban Home,11899,1108,5,2,0,3.03,True,0.74,9.32,0.762,lifestyle,44.66,24.2
@music_global_0030,Insider Sound,241,31,0,0,0,2.75,False,2.3,13.16,0.677,music,47,27.9
@crypto_core_0031,Neon Chain,8470,2298,65,0,15,0.07,False,4.49,27.14,0.0,crypto,42,42.0
@news_quiet_0032,Peak Wire,11532,1487,59,13,10,1.42,True,5.4,12.9,0.08,news,80,76.2
@tech_alpha_0033,Open AI,3211,524,18,0,5,1.07,False,4.99,16.35,0.067,tech,50,48.0
@news_open_0034,Core Digest,6875,2114,40,0,15,1.95,False,3.38,30.76,0.054,news,62,60.0
@lifestyle_urban_0035,Smart Style,1363,303,3,0,0,2.29,False,1.87,22.29,0.079,lifestyle,50,47.6
@politics_bright_0036,Daily Debate,2541,755,23,3,7,0.2,True,4.82,29.72,0.0,politics,55,55.0
@education_daily_0037,Open Academy,797,325,4,0,1,2.36,False,2.08,40.83,0.119,education,57,52.9
@sports_prime_0038,Urban League,960,234,3,0,1,14.6,True,2.63,24.48,0.032,sports,37,36.3
@health_daily_0039,Alpha Fit,5479,1882,25,7,5,2.51,True,1.87,34.35,0.088,health,72,68.2
@news_bright_0040,Insider Wire,6478,2562,47,10,11,0.73,True,2.91,39.56,0.069,news,72,69.0
@sports_global_0041,Global Match,2351,1020,28,10,10,1.35,True,4.75,43.4,0.07,sports,75,71.9
@music_smart_0042,Alpha Beats,2332,852,14,0,4,1.24,False,2.73,36.56,0.14,music,60,55.0
@lifestyle_nova_0043,Vivid Style,6951,991,12,3,2,0.52,True,2.03,14.27,0.119,lifestyle,57,52.9
@news_smart_0044,Daily Digest,3557,1352,23,8,7,11.4,True,3.11,38.02,0.062,news,60,57.8
@business_global_0045,Neon Ventures,693,302,7,1,1,33.5,True,4.29,43.61,0.001,business,52,52.0
@news_core_0046,Quiet Report,12497,2111,40,0,7,1.3,False,3.27,16.9,0.041,news,55,53.6
@tech_daily_0047,Core AI,13237,2996,43,11,10,0.2,True,2.3,22.64,0.045,tech,70,68.1
@business_nova_0048,Nova Capital,14032,2400,111,36,22,1.09,True,6.47,17.11,0.062,business,80,77.0
@crypto_bright_0049,Smart Chain,7848,1854,61,9,17,0.13,True,4.55,23.64,0.037,crypto,57,55.7
@education_daily_0050,Vivid Course,21997,2949,36,0,10,2.55,False,1.73,13.41,0.011,education,50,49.7
@news_daily_0051,Prime Wire,2598,680,31,5,6,0.2,True,6.76,26.21,0.043,news,60,58.4
@news_smart_0052,Global Wire,446,184,6,0,1,1.13,False,5.58,41.42,0.116,news,62,57.7
@news_prime_0053,Open Digest,5108,1228,12,3,3,0.88,True,1.82,24.06,0.103,news,57,53.5
@news_core_0054,Core Report,10027,2622,58,10,8,0.1,True,3.2,26.15,0.0,news,60,60.0
@tech_urban_0055,Open Tech,397,178,6,0,1,2.37,False,5.58,45.09,0.021,tech,62,61.2
@tech_alpha_0056,Nova AI,16141,3302,69,22,11,0.2,True,2.96,20.46,0.063,tech,70,67.4
@business_insider_0057,Neon Market,66609,9637,290,0,78,2.06,False,4.19,14.47,0.0,business,57,57.0
@crypto_smart_0058,Vivid DeFi,17396,5682,46,13,15,2.57,True,1.49,32.67,0.087,crypto,80,75.8
@news_nova_0059,Alpha News,1406,429,5,1,1,3.34,True,2.1,30.52,0.046,news,65,63.2
@lifestyle_vivid_0060,Alpha Style,13552,2884,67,16,12,2.13,True,3.22,21.29,0.034,lifestyle,80,78.4
@news_nova_0061,Insider Wire,2930,863,26,6,7,1.45,True,4.81,29.46,0.091,news,70,66.2
@news_daily_0062,Global News,12451,4899,25,0,9,1.47,False,0.91,39.35,0.082,news,55,52.3
@education_daily_0063,Quiet Lessons,1697,696,22,0,7,0.44,False,5.55,41.04,0.094,education,55,51.9
@entertainment_bright_0064,Peak Laughs,3230,541,17,3,6,1.43,True,5.22,16.76,0.004,entertainment,65,64.8
@education_neon_0065,Urban Learn,19494,6353,34,0,7,1.13,False,0.78,32.59,0.057,education,55,53.1
@crypto_neon_0066,Core DeFi,4316,1439,22,6,7,0.19,True,2.5,33.36,0.033,crypto,60,58.8
@news_prime_0067,Core Digest,2937,821,23,0,5,2.57,False,3.79,27.96,0.034,news,55,53.9
@crypto_prime_0068,Global Crypto,779,255,11,2,3,0.2,True,7.12,32.74,0.056,crypto,62,59.9
@entertainment_quiet_0069,Quiet Vibes,24505,1481,36,8,11,1.71,True,3.96,6.04,0.3,entertainment,63.02,51.7
@education_insider_0070,Nova Learn,84166,25141,323,0,131,0.08,False,2.32,29.87,0.044,education,47,45.8
@entertainment_smart_0071,Quiet Laughs,9791,4265,18,3,4,3.79,True,0.72,43.56,0.009,entertainment,57,56.7
@entertainment_vivid_0072,Insider Fun,5343,1312,38,0,9,1.98,False,3.98,24.57,0.0,entertainment,57,57.0
@gaming_alpha_0073,Bright Arena,12294,577,12,0,3,1.15,False,2.85,4.7,0.016,gaming,47.35,46.9
@news_insider_0074,Urban Report,17538,2895,32,0,8,37.0,False,1.88,16.51,0.021,news,35,34.6
@business_vivid_0075,Prime Money,31578,11500,239,57,72,2.98,True,2.92,36.42,0.0,business,85,85.0
@news_global_0076,Quiet Report,3949,1326,39,0,5,31.5,False,4.4,33.58,0.095,news,45,42.4
@gaming_daily_0077,Open Arena,62864,3331,40,10,14,0.05,True,1.74,5.3,0.525,gaming,44.65,30.6
@health_neon_0078,Smart Wellness,7274,2227,33,10,5,0.77,True,2.13,30.62,0.094,health,72,67.9
@education_open_0079,Core Learn,10326,1952,46,0,13,1.48,False,3.56,18.91,0.085,education,55,52.2
@gaming_neon_0080,Neon Games,10436,1851,23,3,6,0.2,True,1.9,17.74,0.091,gaming,50,47.3
@crypto_bright_0081,Peak Coins,12536,2069,35,10,11,1.86,True,3.06,16.51,0.024,crypto,70,69.0
